CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID
32,105794209201300032,201300032,2013-03-16,2013-03-16 17:00:00,2013-03-16 18:00:00,2013-03-16 17:00:00,17.0608,76.80859,Other reported at UNIT-KA-KALABURAGI-02,500005,100005,2,1,1,1,1,700002
33,105794209201300033,201300033,2013-09-02,2013-09-02 20:00:00,2013-09-02 21:00:00,2013-09-02 20:00:00,17.09897,76.86808,Other reported at UNIT-KA-KALABURAGI-02,500005,100005,2,1,1,1,1,700002
34,105794236201300034,201300034,2013-09-05,2013-09-05 09:00:00,2013-09-05 10:00:00,2013-09-05 09:00:00,17.38682,76.75373,Assault Women Modesty reported at UNIT-KA-KALABURAGI-01,500004,100004,2,1,5,9,5,700002
35,105794236201300035,201300035,2013-03-16,2013-03-16 18:00:00,2013-03-16 19:00:00,2013-03-16 18:00:00,17.35366,76.77455,Other reported at UNIT-KA-KALABURAGI-01,500004,100004,2,1,1,1,5,700002
36,105796122201300036,201300036,2013-10-19,2013-10-19 11:00:00,2013-10-19 12:00:00,2013-10-19 11:00:00,17.41803,76.82786,Riots reported at UNIT-KA-KALABURAGI-03,500006,100006,2,1,4,6,1,700002
37,405794236201300037,201300037,2013-01-05,2013-01-05 15:00:00,2013-01-05 16:00:00,2013-01-05 15:00:00,17.01877,76.82606,Other reported at UNIT-KA-KALABURAGI-01,500004,100004,1,1,1,1,4,700002
38,105794209201300038,201300038,2013-09-13,2013-09-13 20:00:00,2013-09-13 21:00:00,2013-09-13 20:00:00,17.44784,76.7653,Grievous Hurt reported at UNIT-KA-KALABURAGI-02,500005,100005,2,1,2,3,4,700002
39,105794209201300039,201300039,2013-04-17,2013-04-17 14:00:00,2013-04-17 15:00:00,2013-04-17 14:00:00,17.02637,76.95623,Other reported at UNIT-KA-KALABURAGI-02,500005,100005,2,1,1,1,1,700002
40,105794209201300040,201300040,2013-03-03,2013-03-03 18:00:00,2013-03-03 19:00:00,2013-03-03 18:00:00,17.09489,76.88189,Other reported at UNIT-KA-KALABURAGI-02,500005,100005,2,1,1,1,2,700002
41,405558227201300041,201300041,2013-07-28,2013-07-28 18:00:00,2013-07-28 19:00:00,2013-07-28 18:00:00,16.23953,74.61583,Other reported at UNIT-KA-BELAGAVI-03,500009,100009,1,1,1,1,4,700003
42,105558227201300042,201300042,2013-08-23,2013-08-23 03:00:00,2013-08-23 04:00:00,2013-08-23 03:00:00,16.13539,74.91481,Grievous Hurt reported at UNIT-KA-BELAGAVI-03,500009,100009,2,1,2,3,1,700003
43,105555153201300043,201300043,2013-05-02,2013-05-02 22:00:00,2013-05-02 23:00:00,2013-05-02 22:00:00,16.14714,74.65543,Burglary reported at UNIT-KA-BELAGAVI-02,500008,100008,2,1,3,5,2,700003
44,105555153201300044,201300044,2013-03-26,2013-03-26 10:00:00,2013-03-26 11:00:00,2013-03-26 10:00:00,16.13275,74.73582,Other reported at UNIT-KA-BELAGAVI-02,500008,100008,2,1,1,1,5,700003
45,405554318201300045,201300045,2013-04-19,2013-04-19 00:00:00,2013-04-19 01:00:00,2013-04-19 00:00:00,16.14391,74.84819,Theft reported at UNIT-KA-BELAGAVI-01,500007,100007,1,1,3,4,1,700003
46,105555153201300046,201300046,2013-01-02,2013-01-02 15:00:00,2013-01-02 16:00:00,2013-01-02 15:00:00,16.49836,74.75688,Other reported at UNIT-KA-BELAGAVI-02,500008,100008,2,1,1,1,2,700003
47,105555153201300047,201300047,2013-07-04,2013-07-04 16:00:00,2013-07-04 17:00:00,2013-07-04 16:00:00,16.20928,74.68363,Other reported at UNIT-KA-BELAGAVI-02,500008,100008,2,1,1,1,5,700003
48,105554318201300048,201300048,2013-02-24,2013-02-24 06:00:00,2013-02-24 07:00:00,2013-02-24 06:00:00,16.16761,74.46794,Other reported at UNIT-KA-BELAGAVI-01,500007,100007,2,1,1,1,2,700003
49,105558227201300049,201300049,2013-05-19,2013-05-19 13:00:00,2013-05-19 14:00:00,2013-05-19 13:00:00,16.21346,74.92715,Other reported at UNIT-KA-BELAGAVI-03,500009,100009,2,1,1,1,2,700003
50,105554318201300050,201300050,2013-10-22,2013-10-22 21:00:00,2013-10-22 22:00:00,2013-10-22 21:00:00,16.11632,74.8113,Other reported at UNIT-KA-BELAGAVI-01,500007,100007,2,1,1,1,2,700003
51,105555153201300051,201300051,2013-08-20,2013-08-20 18:00:00,2013-08-20 19:00:00,2013-08-20 18:00:00,16.06875,74.80515,Dacoity reported at UNIT-KA-BELAGAVI-02,500008,100008,2,2,2,10,5,700003
52,305555153201300052,201300052,2013-02-01,2013-02-01 11:00:00,2013-02-01 12:00:00,2013-02-01 11:00:00,16.01838,74.76242,Other reported at UNIT-KA-BELAGAVI-02,500008,100008,3,1,1,1,1,700003
53,105554318201300053,201300053,2013-06-06,2013-06-06 14:00:00,2013-06-06 15:00:00,2013-06-06 14:00:00,16.25854,74.54906,Other reported at UNIT-KA-BELAGAVI-01,500007,100007,2,1,1,1,4,700003
54,105558227201300054,201300054,2013-04-04,2013-04-04 20:00:00,2013-04-04 21:00:00,2013-04-04 20:00:00,16.25243,74.84403,Other reported at UNIT-KA-BELAGAVI-03,500009,100009,2,1,1,1,2,700003
55,105555153201300055,201300055,2013-06-17,2013-06-17 17:00:00,2013-06-17 18:00:00,2013-06-17 17:00:00,16.34726,74.83967,Assault Women Modesty reported at UNIT-KA-BELAGAVI-02,500008,100008,2,1,5,9,1,700003
56,105554318201300056,201300056,2013-06-23,2013-06-23 15:00:00,2013-06-23 16:00:00,2013-06-23 15:00:00,16.38718,74.87619,Cruelty Husband reported at UNIT-KA-BELAGAVI-01,500007,100007,2,1,5,7,1,700003
57,105558227201300057,201300057,2013-10-28,2013-10-28 20:00:00,2013-10-28 21:00:00,2013-10-28 20:00:00,16.22683,74.8131,Other reported at UNIT-KA-BELAGAVI-03,500009,100009,2,1,1,1,5,700003
58,105558227201300058,201300058,2013-09-03,2013-09-03 23:00:00,2013-09-03 23:00:00,2013-09-03 23:00:00,16.08613,74.6263,Other reported at UNIT-KA-BELAGAVI-03,500009,100009,2,1,1,1,2,700003
59,105558227201300059,201300059,2013-01-22,2013-01-22 21:00:00,2013-01-22 22:00:00,2013-01-22 21:00:00,16.04671,74.99291,Other reported at UNIT-KA-BELAGAVI-03,500009,100009,2,1,1,1,1,700003
60,305555153201300060,201300060,2013-04-10,2013-04-10 10:00:00,2013-04-10 11:00:00,2013-04-10 10:00:00,16.46193,74.69952,Cheating reported at UNIT-KA-BELAGAVI-02,500008,100008,3,1,6,8,4,700003
61,105807615201300061,201300061,2013-08-20,2013-08-20 20:00:00,2013-08-20 21:00:00,2013-08-20 20:00:00,16.43871,76.91636,Cruelty Husband reported at UNIT-KA-YADGIR-01,500010,100010,2,1,5,7,2,700004
62,105800287201300062,201300062,2013-05-24,2013-05-24 23:00:00,2013-05-24 23:00:00,2013-05-24 23:00:00,16.93972,76.9959,Other reported at UNIT-KA-YADGIR-02,500011,100011,2,1,1,1,2,700004
63,305800287201300063,201300063,2013-04-02,2013-04-02 01:00:00,2013-04-02 02:00:00,2013-04-02 01:00:00,16.74429,76.64493,Theft reported at UNIT-KA-YADGIR-02,500011,100011,3,1,3,4,1,700004
64,305800287201300064,201300064,2013-12-15,2013-12-15 21:00:00,2013-12-15 22:00:00,2013-12-15 21:00:00,16.78393,76.86992,Riots reported at UNIT-KA-YADGIR-02,500011,100011,3,1,4,6,3,700004
65,105800287201300065,201300065,2013-08-12,2013-08-12 08:00:00,2013-08-12 09:00:00,2013-08-12 08:00:00,16.41549,77.05123,Grievous Hurt reported at UNIT-KA-YADGIR-02,500011,100011,2,1,2,3,4,700004
66,105807615201300066,201300066,2013-11-12,2013-11-12 10:00:00,2013-11-12 11:00:00,2013-11-12 10:00:00,16.4059,77.265,Cruelty Husband reported at UNIT-KA-YADGIR-01,500010,100010,2,1,5,7,1,700004
67,105802758201300067,201300067,2013-05-23,2013-05-23 07:00:00,2013-05-23 08:00:00,2013-05-23 07:00:00,16.15313,77.14479,Grievous Hurt reported at UNIT-KA-YADGIR-03,500012,100012,2,1,2,3,1,700004
68,305802758201300068,201300068,2013-04-26,2013-04-26 10:00:00,2013-04-26 11:00:00,2013-04-26 10:00:00,16.84097,77.18382,Grievous Hurt reported at UNIT-KA-YADGIR-03,500012,100012,3,1,2,3,1,700004
69,105800287201300069,201300069,2013-02-05,2013-02-05 20:00:00,2013-02-05 21:00:00,2013-02-05 20:00:00,16.88514,76.92755,Grievous Hurt reported at UNIT-KA-YADGIR-02,500011,100011,2,1,2,3,2,700004
70,105802758201300070,201300070,2013-02-09,2013-02-09 21:00:00,2013-02-09 22:00:00,2013-02-09 21:00:00,16.7917,77.34502,Assault Women Modesty reported at UNIT-KA-YADGIR-03,500012,100012,2,1,5,9,1,700004
71,105807615201300071,201300071,2013-11-25,2013-11-25 05:00:00,2013-11-25 06:00:00,2013-11-25 05:00:00,16.45344,76.85946,Other reported at UNIT-KA-YADGIR-01,500010,100010,2,1,1,1,5,700004
72,105807615201300072,201300072,2013-12-11,2013-12-11 11:00:00,2013-12-11 12:00:00,2013-12-11 11:00:00,16.62766,76.65101,Grievous Hurt reported at UNIT-KA-YADGIR-01,500010,100010,2,1,2,3,3,700004
73,105807615201300073,201300073,2013-03-27,2013-03-27 22:00:00,2013-03-27 23:00:00,2013-03-27 22:00:00,16.56092,77.15287,Grievous Hurt reported at UNIT-KA-YADGIR-01,500010,100010,2,1,2,3,1,700004
74,105807615201300074,201300074,2013-07-05,2013-07-05 20:00:00,2013-07-05 21:00:00,2013-07-05 20:00:00,16.84993,76.79348,Grievous Hurt reported at UNIT-KA-YADGIR-01,500010,100010,2,1,2,3,5,700004
75,805802758201300075,201300075,2013-03-04,2013-03-04 17:00:00,2013-03-04 18:00:00,2013-03-04 17:00:00,16.43532,77.14327,Riots reported at UNIT-KA-YADGIR-03,500012,100012,4,1,4,6,1,700004
76,105802758201300076,201300076,2013-10-11,2013-10-11 08:00:00,2013-10-11 09:00:00,2013-10-11 08:00:00,16.9146,77.38404,Grievous Hurt reported at UNIT-KA-YADGIR-03,500012,100012,2,1,2,3,5,700004
77,105800287201300077,201300077,2013-11-26,2013-11-26 11:00:00,2013-11-26 12:00:00,2013-11-26 11:00:00,16.86623,76.93043,Assault Women Modesty reported at UNIT-KA-YADGIR-02,500011,100011,2,1,5,9,1,700004
78,105800287201300078,201300078,2013-07-23,2013-07-23 14:00:00,2013-07-23 15:00:00,2013-07-23 14:00:00,16.71311,77.14818,Burglary reported at UNIT-KA-YADGIR-02,500011,100011,2,1,3,5,2,700004
79,305802758201300079,201300079,2013-05-20,2013-05-20 20:00:00,2013-05-20 21:00:00,2013-05-20 20:00:00,16.25925,77.00705,Cruelty Husband reported at UNIT-KA-YADGIR-03,500012,100012,3,1,5,7,1,700004
80,105807615201300080,201300080,2013-09-13,2013-09-13 17:00:00,2013-09-13 18:00:00,2013-09-13 17:00:00,16.78626,76.86954,Cruelty Husband reported at UNIT-KA-YADGIR-01,500010,100010,2,1,5,7,2,700004
81,105561935201300081,201300081,2013-08-09,2013-08-09 20:00:00,2013-08-09 21:00:00,2013-08-09 20:00:00,16.19524,75.71946,Other reported at UNIT-KA-BAGALKOTE-01,500013,100013,2,1,1,1,1,700005
82,105561935201300082,201300082,2013-04-01,2013-04-01 15:00:00,2013-04-01 16:00:00,2013-04-01 15:00:00,16.15979,75.76322,Other reported at UNIT-KA-BAGALKOTE-01,500013,100013,2,1,1,1,5,700005
83,105564842201300083,201300083,2013-12-04,2013-12-04 19:00:00,2013-12-04 20:00:00,2013-12-04 19:00:00,15.92298,75.35521,Grievous Hurt reported at UNIT-KA-BAGALKOTE-03,500015,100015,2,1,2,3,2,700005
84,105564842201300084,201300084,2013-04-19,2013-04-19 21:00:00,2013-04-19 22:00:00,2013-04-19 21:00:00,16.07433,75.62433,Other reported at UNIT-KA-BAGALKOTE-03,500015,100015,2,1,1,1,4,700005
85,105569223201300085,201300085,2013-12-07,2013-12-07 20:00:00,2013-12-07 21:00:00,2013-12-07 20:00:00,16.1248,75.62322,Riots reported at UNIT-KA-BAGALKOTE-02,500014,100014,2,1,4,6,2,700005
86,105561935201300086,201300086,2013-07-17,2013-07-17 23:00:00,2013-07-17 23:00:00,2013-07-17 23:00:00,16.47702,75.96478,Other reported at UNIT-KA-BAGALKOTE-01,500013,100013,2,1,1,1,4,700005
87,305561935201300087,201300087,2013-11-14,2013-11-14 01:00:00,2013-11-14 02:00:00,2013-11-14 01:00:00,15.88601,75.3981,Other reported at UNIT-KA-BAGALKOTE-01,500013,100013,3,1,1,1,4,700005
88,305561935201300088,201300088,2013-05-08,2013-05-08 08:00:00,2013-05-08 09:00:00,2013-05-08 08:00:00,16.27195,75.40861,Cruelty Husband reported at UNIT-KA-BAGALKOTE-01,500013,100013,3,1,5,7,1,700005
89,405561935201300089,201300089,2013-07-18,2013-07-18 17:00:00,2013-07-18 18:00:00,2013-07-18 17:00:00,15.7394,75.65802,Other reported at UNIT-KA-BAGALKOTE-01,500013,100013,1,1,1,1,3,700005
90,105561935201300090,201300090,2013-02-15,2013-02-15 12:00:00,2013-02-15 13:00:00,2013-02-15 12:00:00,16.20812,75.58847,Burglary reported at UNIT-KA-BAGALKOTE-01,500013,100013,2,1,3,5,5,700005
91,405569223201300091,201300091,2013-01-07,2013-01-07 11:00:00,2013-01-07 12:00:00,2013-01-07 11:00:00,16.54555,75.48878,Grievous Hurt reported at UNIT-KA-BAGALKOTE-02,500014,100014,1,1,2,3,1,700005
92,105569223201300092,201300092,2013-08-15,2013-08-15 16:00:00,2013-08-15 17:00:00,2013-08-15 16:00:00,16.53525,75.90837,Other reported at UNIT-KA-BAGALKOTE-02,500014,100014,2,1,1,1,2,700005
93,105561935201300093,201300093,2013-07-19,2013-07-19 12:00:00,2013-07-19 13:00:00,2013-07-19 12:00:00,16.26186,75.48327,Other reported at UNIT-KA-BAGALKOTE-01,500013,100013,2,1,1,1,5,700005
94,805561935201300094,201300094,2013-02-27,2013-02-27 16:00:00,2013-02-27 17:00:00,2013-02-27 16:00:00,16.03401,75.40933,Other reported at UNIT-KA-BAGALKOTE-01,500013,100013,4,1,1,1,2,700005
95,105564842201300095,201300095,2013-05-01,2013-05-01 11:00:00,2013-05-01 12:00:00,2013-05-01 11:00:00,15.92021,75.64278,Grievous Hurt reported at UNIT-KA-BAGALKOTE-03,500015,100015,2,1,2,3,2,700005
96,105564842201300096,201300096,2013-02-21,2013-02-21 20:00:00,2013-02-21 21:00:00,2013-02-21 20:00:00,16.39922,75.63411,Other reported at UNIT-KA-BAGALKOTE-03,500015,100015,2,1,1,1,1,700005
97,805564842201300097,201300097,2013-04-07,2013-04-07 21:00:00,2013-04-07 22:00:00,2013-04-07 21:00:00,16.36761,75.50343,Other reported at UNIT-KA-BAGALKOTE-03,500015,100015,4,1,1,1,2,700005
98,405561935201300098,201300098,2013-10-08,2013-10-08 11:00:00,2013-10-08 12:00:00,2013-10-08 11:00:00,15.88332,75.51954,Other reported at UNIT-KA-BAGALKOTE-01,500013,100013,1,1,1,1,5,700005
99,105569223201300099,201300099,2013-05-26,2013-05-26 01:00:00,2013-05-26 02:00:00,2013-05-26 01:00:00,16.35337,75.63758,Other reported at UNIT-KA-BAGALKOTE-02,500014,100014,2,1,1,1,2,700005
100,105569223201300100,201300100,2013-01-10,2013-01-10 07:00:00,2013-01-10 08:00:00,2013-01-10 07:00:00,15.91305,75.7384,Theft reported at UNIT-KA-BAGALKOTE-02,500014,100014,2,1,3,4,1,700005
101,305594228201300101,201300101,2013-10-07,2013-10-07 07:00:00,2013-10-07 08:00:00,2013-10-07 07:00:00,15.94385,76.78009,Grievous Hurt reported at UNIT-KA-RAICHUR-02,500017,100017,3,1,2,3,5,700006
102,105594228201300102,201300102,2013-10-16,2013-10-16 04:00:00,2013-10-16 05:00:00,2013-10-16 04:00:00,15.94001,76.7924,Riots reported at UNIT-KA-RAICHUR-02,500017,100017,2,1,4,6,3,700006
103,805596538201300103,201300103,2013-06-26,2013-06-26 18:00:00,2013-06-26 19:00:00,2013-06-26 18:00:00,16.0909,76.9,Rape reported at UNIT-KA-RAICHUR-03,500018,100018,4,2,5,11,1,700006
104,405596538201300104,201300104,2013-05-11,2013-05-11 08:00:00,2013-05-11 09:00:00,2013-05-11 08:00:00,16.00734,76.92031,Theft reported at UNIT-KA-RAICHUR-03,500018,100018,1,1,3,4,2,700006
105,405596538201300105,201300105,2013-03-18,2013-03-18 10:00:00,2013-03-18 11:00:00,2013-03-18 10:00:00,16.2217,77.0633,Other reported at UNIT-KA-RAICHUR-03,500018,100018,1,1,1,1,3,700006
106,105596161201300106,201300106,2013-09-06,2013-09-06 20:00:00,2013-09-06 21:00:00,2013-09-06 20:00:00,16.04151,76.96931,Other reported at UNIT-KA-RAICHUR-01,500016,100016,2,1,1,1,1,700006
107,105596161201300107,201300107,2013-04-10,2013-04-10 11:00:00,2013-04-10 12:00:00,2013-04-10 11:00:00,16.22678,76.99384,Other reported at UNIT-KA-RAICHUR-01,500016,100016,2,1,1,1,1,700006
108,105594228201300108,201300108,2013-08-05,2013-08-05 22:00:00,2013-08-05 23:00:00,2013-08-05 22:00:00,16.16524,77.03836,Other reported at UNIT-KA-RAICHUR-02,500017,100017,2,1,1,1,2,700006
109,305594228201300109,201300109,2013-02-19,2013-02-19 16:00:00,2013-02-19 17:00:00,2013-02-19 16:00:00,16.32025,77.07189,Grievous Hurt reported at UNIT-KA-RAICHUR-02,500017,100017,3,1,2,3,4,700006
110,805596161201300110,201300110,2013-12-19,2013-12-19 09:00:00,2013-12-19 10:00:00,2013-12-19 09:00:00,15.99338,76.59522,Grievous Hurt reported at UNIT-KA-RAICHUR-01,500016,100016,4,1,2,3,2,700006
111,805596538201300111,201300111,2013-03-25,2013-03-25 20:00:00,2013-03-25 21:00:00,2013-03-25 20:00:00,16.19174,76.5406,Other reported at UNIT-KA-RAICHUR-03,500018,100018,4,1,1,1,3,700006
112,305594228201300112,201300112,2013-05-23,2013-05-23 16:00:00,2013-05-23 17:00:00,2013-05-23 16:00:00,16.25345,76.83034,Other reported at UNIT-KA-RAICHUR-02,500017,100017,3,1,1,1,3,700006
113,405594228201300113,201300113,2013-01-02,2013-01-02 21:00:00,2013-01-02 22:00:00,2013-01-02 21:00:00,16.33903,77.05415,Theft reported at UNIT-KA-RAICHUR-02,500017,100017,1,1,3,4,2,700006
114,105596538201300114,201300114,2013-02-01,2013-02-01 06:00:00,2013-02-01 07:00:00,2013-02-01 06:00:00,16.12669,76.9529,Other reported at UNIT-KA-RAICHUR-03,500018,100018,2,1,1,1,2,700006
115,105596161201300115,201300115,2013-11-05,2013-11-05 18:00:00,2013-11-05 19:00:00,2013-11-05 18:00:00,16.29923,76.97597,Other reported at UNIT-KA-RAICHUR-01,500016,100016,2,1,1,1,2,700006
116,105596161201300116,201300116,2013-10-24,2013-10-24 16:00:00,2013-10-24 17:00:00,2013-10-24 16:00:00,15.89515,76.7162,Cheating reported at UNIT-KA-RAICHUR-01,500016,100016,2,1,6,8,5,700006
117,805594228201300117,201300117,2013-03-13,2013-03-13 22:00:00,2013-03-13 23:00:00,2013-03-13 22:00:00,16.24503,76.73101,Assault Women Modesty reported at UNIT-KA-RAICHUR-02,500017,100017,4,1,5,9,2,700006
118,105594228201300118,201300118,2013-04-26,2013-04-26 05:00:00,2013-04-26 06:00:00,2013-04-26 05:00:00,16.19173,77.00804,Other reported at UNIT-KA-RAICHUR-02,500017,100017,2,1,1,1,2,700006
119,105594228201300119,201300119,2013-11-24,2013-11-24 18:00:00,2013-11-24 19:00:00,2013-11-24 18:00:00,16.12352,76.91295,Grievous Hurt reported at UNIT-KA-RAICHUR-02,500017,100017,2,1,2,3,1,700006
120,405596161201300120,201300120,2013-07-09,2013-07-09 12:00:00,2013-07-09 13:00:00,2013-07-09 12:00:00,15.98843,76.87148,Grievous Hurt reported at UNIT-KA-RAICHUR-01,500016,100016,1,1,2,3,3,700006
121,105606852201300121,201300121,2013-01-25,2013-01-25 22:00:00,2013-01-25 23:00:00,2013-01-25 22:00:00,15.47272,75.87769,Other reported at UNIT-KA-KOPPAL-01,500019,100019,2,1,1,1,5,700007
