CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
215,IPC,420,1,1
216,SLL,,1,1
217,SLL,,1,1
218,IPC,498A,1,1
219,SLL,,1,1
220,SLL,,1,1
221,IPC,420,1,1
222,SLL,,1,1
223,IPC,363,1,1
224,SLL,,1,1
225,SLL,,1,1
226,SLL,,1,1
227,SLL,,1,1
228,SLL,,1,1
229,SLL,,1,1
230,SLL,,1,1
231,IPC,325,1,1
232,IPC,379,1,1
233,SLL,,1,1
234,SLL,,1,1
235,IPC,307,1,1
236,IPC,147,1,1
237,SLL,,1,1
238,SLL,,1,1
239,IPC,307,1,1
240,SLL,,1,1
241,IPC,379,1,1
242,IPC,420,1,1
243,IPC,498A,1,1
244,SLL,,1,1
245,IPC,379,1,1
246,IPC,354,1,1
247,SLL,,1,1
248,SLL,,1,1
249,IPC,302,1,1
250,IPC,325,1,1
251,IPC,325,1,1
252,SLL,,1,1
253,IPC,325,1,1
254,IPC,325,1,1
255,IPC,325,1,1
256,IPC,325,1,1
257,IPC,325,1,1
258,IPC,445,1,1
259,IPC,420,1,1
260,IPC,325,1,1
261,SLL,,1,1
262,SLL,,1,1
263,IPC,325,1,1
264,IPC,354,1,1
265,IPC,363,1,1
266,SLL,,1,1
267,SLL,,1,1
268,IPC,325,1,1
269,IPC,325,1,1
270,IPC,325,1,1
271,IPC,379,1,1
272,SLL,,1,1
273,IPC,325,1,1
274,IPC,379,1,1
275,IPC,325,1,1
276,IPC,379,1,1
277,IPC,379,1,1
278,SLL,,1,1
279,IPC,325,1,1
280,IPC,379,1,1
281,IPC,435,1,1
282,SLL,,1,1
283,SLL,,1,1
284,IPC,325,1,1
285,SLL,,1,1
286,SLL,,1,1
287,IPC,147,1,1
288,IPC,325,1,1
289,IPC,498A,1,1
290,SLL,,1,1
291,SLL,,1,1
292,SLL,,1,1
293,IPC,498A,1,1
294,IPC,354,1,1
295,IPC,325,1,1
296,SLL,,1,1
297,IPC,325,1,1
298,SLL,,1,1
299,SLL,,1,1
300,SLL,,1,1
301,SLL,,1,1
302,SLL,,1,1
303,SLL,,1,1
304,SLL,,1,1
305,IPC,325,1,1
306,IPC,325,1,1
307,IPC,445,1,1
308,SLL,,1,1
309,SLL,,1,1
310,SLL,,1,1
311,IPC,325,1,1
312,SLL,,1,1
313,IPC,498A,1,1
314,IPC,379,1,1
315,SLL,,1,1
316,IPC,445,1,1
317,IPC,435,1,1
318,SLL,,1,1
319,IPC,445,1,1
320,SLL,,1,1
321,SLL,,1,1
322,IPC,420,1,1
323,IPC,147,1,1
324,SLL,,1,1
325,SLL,,1,1
326,SLL,,1,1
327,IPC,392,1,1
328,IPC,302,1,1
329,IPC,325,1,1
330,SLL,,1,1
331,IPC,379,1,1
332,SLL,,1,1
333,SLL,,1,1
334,SLL,,1,1
335,IPC,325,1,1
336,IPC,307,1,1
337,SLL,,1,1
338,SLL,,1,1
339,IPC,325,1,1
340,SLL,,1,1
341,IPC,376,1,1
342,IPC,325,1,1
343,IPC,325,1,1
344,IPC,325,1,1
345,SLL,,1,1
346,IPC,379,1,1
347,IPC,325,1,1
348,SLL,,1,1
349,IPC,445,1,1
350,IPC,325,1,1
351,IPC,379,1,1
352,IPC,147,1,1
353,IPC,498A,1,1
354,SLL,,1,1
355,IPC,147,1,1
356,SLL,,1,1
357,IPC,445,1,1
358,SLL,,1,1
359,IPC,147,1,1
360,SLL,,1,1
361,SLL,,1,1
362,SLL,,1,1
363,SLL,,1,1
364,IPC,420,1,1
365,IPC,325,1,1
366,SLL,,1,1
367,IPC,325,1,1
368,SLL,,1,1
369,SLL,,1,1
370,SLL,,1,1
371,SLL,,1,1
372,IPC,325,1,1
373,SLL,,1,1
374,IPC,354,1,1
375,IPC,379,1,1
376,SLL,,1,1
377,SLL,,1,1
378,IPC,379,1,1
379,IPC,325,1,1
380,IPC,325,1,1
381,SLL,,1,1
382,IPC,325,1,1
383,SLL,,1,1
384,IPC,325,1,1
385,SLL,,1,1
386,IPC,302,1,1
387,SLL,,1,1
388,SLL,,1,1
389,IPC,379,1,1
390,IPC,379,1,1
391,SLL,,1,1
392,SLL,,1,1
393,SLL,,1,1
394,SLL,,1,1
395,SLL,,1,1
396,SLL,,1,1
397,SLL,,1,1
398,IPC,325,1,1
399,IPC,307,1,1
400,SLL,,1,1
401,SLL,,1,1
402,IPC,379,1,1
403,IPC,379,1,1
404,SLL,,1,1
405,SLL,,1,1
406,SLL,,1,1
407,IPC,435,1,1
408,SLL,,1,1
409,IPC,325,1,1
410,IPC,325,1,1
411,SLL,,1,1
412,IPC,147,1,1
413,SLL,,1,1
414,SLL,,1,1
415,SLL,,1,1
416,SLL,,1,1
417,IPC,307,1,1
418,SLL,,1,1
419,SLL,,1,1
420,IPC,379,1,1
421,IPC,147,1,1
422,IPC,445,1,1
423,SLL,,1,1
424,IPC,147,1,1
425,IPC,325,1,1
426,IPC,147,1,1
427,IPC,392,1,1
428,IPC,147,1,1
429,IPC,307,1,1
430,SLL,,1,1
431,SLL,,1,1
432,IPC,325,1,1
433,SLL,,1,1
434,IPC,354,1,1
435,IPC,325,1,1
436,IPC,379,1,1
437,SLL,,1,1
438,IPC,302,1,1
439,IPC,147,1,1
440,IPC,445,1,1
441,IPC,379,1,1
442,IPC,379,1,1
443,IPC,379,1,1
444,IPC,392,1,1
445,IPC,379,1,1
446,IPC,325,1,1
447,SLL,,1,1
448,SLL,,1,1
449,IPC,395,1,1
450,IPC,379,1,1
451,IPC,420,1,1
452,IPC,420,1,1
453,IPC,379,1,1
454,IPC,325,1,1
455,SLL,,1,1
456,IPC,420,1,1
457,IPC,379,1,1
458,IPC,379,1,1
459,SLL,,1,1
460,IPC,379,1,1
461,IPC,325,1,1
462,SLL,,1,1
463,IPC,379,1,1
464,IPC,379,1,1
465,IPC,395,1,1
466,IPC,420,1,1
467,IPC,379,1,1
468,IPC,445,1,1
469,IPC,420,1,1
470,IPC,147,1,1
471,IPC,147,1,1
472,IPC,406,1,1
473,IPC,325,1,1
474,IPC,379,1,1
475,IPC,379,1,1
476,SLL,,1,1
477,IPC,325,1,1
478,SLL,,1,1
479,SLL,,1,1
480,IPC,325,1,1
481,IPC,445,1,1
482,IPC,379,1,1
483,IPC,379,1,1
484,IPC,379,1,1
485,IPC,379,1,1
486,IPC,420,1,1
487,IPC,379,1,1
488,IPC,379,1,1
489,SLL,,1,1
490,IPC,379,1,1
491,IPC,445,1,1
492,IPC,379,1,1
493,IPC,395,1,1
494,IPC,363,1,1
495,IPC,325,1,1
496,IPC,325,1,1
497,IPC,325,1,1
498,IPC,379,1,1
499,IPC,379,1,1
500,SLL,,1,1
501,SLL,,1,1
502,IPC,325,1,1
503,IPC,420,1,1
504,IPC,420,1,1
505,SLL,,1,1
506,IPC,325,1,1
507,SLL,,1,1
508,IPC,420,1,1
509,IPC,325,1,1
510,SLL,,1,1
511,SLL,,1,1
512,IPC,354,1,1
513,SLL,,1,1
514,IPC,325,1,1
515,IPC,325,1,1
516,IPC,325,1,1
517,SLL,,1,1
518,SLL,,1,1
519,SLL,,1,1
520,SLL,,1,1
521,IPC,379,1,1
522,IPC,147,1,1
523,IPC,445,1,1
524,SLL,,1,1
525,IPC,325,1,1
526,IPC,147,1,1
527,SLL,,1,1
528,IPC,325,1,1
529,IPC,379,1,1
530,IPC,325,1,1
531,IPC,354,1,1
532,IPC,325,1,1
533,IPC,147,1,1
534,IPC,445,1,1
535,SLL,,1,1
536,IPC,325,1,1
537,IPC,325,1,1
538,IPC,325,1,1
539,SLL,,1,1
540,SLL,,1,1
541,SLL,,1,1
542,SLL,,1,1
543,SLL,,1,1
544,SLL,,1,1
545,SLL,,1,1
546,IPC,445,1,1
547,SLL,,1,1
548,SLL,,1,1
549,SLL,,1,1
550,IPC,420,1,1
551,IPC,354,1,1
552,IPC,420,1,1
553,IPC,325,1,1
554,IPC,379,1,1
555,SLL,,1,1
556,SLL,,1,1
557,SLL,,1,1
558,IPC,147,1,1
559,IPC,379,1,1
560,SLL,,1,1
561,SLL,,1,1
562,IPC,420,1,1
563,SLL,,1,1
564,IPC,325,1,1
565,SLL,,1,1
566,IPC,325,1,1
567,SLL,,1,1
568,SLL,,1,1
569,IPC,325,1,1
570,IPC,147,1,1
571,IPC,354,1,1
572,IPC,325,1,1
573,IPC,354,1,1
574,SLL,,1,1
575,IPC,379,1,1
576,IPC,307,1,1
577,SLL,,1,1
578,IPC,379,1,1
579,SLL,,1,1
580,SLL,,1,1
581,IPC,379,1,1
582,SLL,,1,1
583,SLL,,1,1
584,SLL,,1,1
585,SLL,,1,1
586,SLL,,1,1
587,SLL,,1,1
588,IPC,379,1,1
589,SLL,,1,1
590,IPC,498A,1,1
591,IPC,379,1,1
592,SLL,,1,1
593,IPC,498A,1,1
594,IPC,379,1,1
595,IPC,498A,1,1
596,SLL,,1,1
597,IPC,325,1,1
598,IPC,445,1,1
599,SLL,,1,1
600,SLL,,1,1
601,SLL,,1,1
602,SLL,,1,1
603,IPC,379,1,1
604,IPC,325,1,1
605,SLL,,1,1
606,IPC,379,1,1
607,SLL,,1,1
608,SLL,,1,1
609,IPC,379,1,1
610,IPC,307,1,1
611,IPC,325,1,1
612,IPC,420,1,1
613,IPC,325,1,1
614,IPC,363,1,1
615,SLL,,1,1
616,SLL,,1,1
617,IPC,445,1,1
618,IPC,379,1,1
619,SLL,,1,1
620,IPC,363,1,1
621,SLL,,1,1
622,IPC,325,1,1
623,SLL,,1,1
624,SLL,,1,1
625,IPC,420,1,1
626,IPC,147,1,1
627,SLL,,1,1
628,SLL,,1,1
629,IPC,354,1,1
630,IPC,307,1,1
631,SLL,,1,1
632,SLL,,1,1
633,IPC,302,1,1
634,SLL,,1,1
635,IPC,325,1,1
636,IPC,147,1,1
637,SLL,,1,1
638,SLL,,1,1
639,IPC,325,1,1
640,SLL,,1,1
641,IPC,445,1,1
