CaseMasterID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude
100,2013-01-10 07:00:00,2013-01-10 08:00:00,2013-01-10 07:00:00,15.91305,75.7384
101,2013-10-07 07:00:00,2013-10-07 08:00:00,2013-10-07 07:00:00,15.94385,76.78009
102,2013-10-16 04:00:00,2013-10-16 05:00:00,2013-10-16 04:00:00,15.94001,76.7924
103,2013-06-26 18:00:00,2013-06-26 19:00:00,2013-06-26 18:00:00,16.0909,76.9
104,2013-05-11 08:00:00,2013-05-11 09:00:00,2013-05-11 08:00:00,16.00734,76.92031
105,2013-03-18 10:00:00,2013-03-18 11:00:00,2013-03-18 10:00:00,16.2217,77.0633
106,2013-09-06 20:00:00,2013-09-06 21:00:00,2013-09-06 20:00:00,16.04151,76.96931
107,2013-04-10 11:00:00,2013-04-10 12:00:00,2013-04-10 11:00:00,16.22678,76.99384
108,2013-08-05 22:00:00,2013-08-05 23:00:00,2013-08-05 22:00:00,16.16524,77.03836
109,2013-02-19 16:00:00,2013-02-19 17:00:00,2013-02-19 16:00:00,16.32025,77.07189
110,2013-12-19 09:00:00,2013-12-19 10:00:00,2013-12-19 09:00:00,15.99338,76.59522
111,2013-03-25 20:00:00,2013-03-25 21:00:00,2013-03-25 20:00:00,16.19174,76.5406
112,2013-05-23 16:00:00,2013-05-23 17:00:00,2013-05-23 16:00:00,16.25345,76.83034
113,2013-01-02 21:00:00,2013-01-02 22:00:00,2013-01-02 21:00:00,16.33903,77.05415
114,2013-02-01 06:00:00,2013-02-01 07:00:00,2013-02-01 06:00:00,16.12669,76.9529
115,2013-11-05 18:00:00,2013-11-05 19:00:00,2013-11-05 18:00:00,16.29923,76.97597
116,2013-10-24 16:00:00,2013-10-24 17:00:00,2013-10-24 16:00:00,15.89515,76.7162
117,2013-03-13 22:00:00,2013-03-13 23:00:00,2013-03-13 22:00:00,16.24503,76.73101
118,2013-04-26 05:00:00,2013-04-26 06:00:00,2013-04-26 05:00:00,16.19173,77.00804
119,2013-11-24 18:00:00,2013-11-24 19:00:00,2013-11-24 18:00:00,16.12352,76.91295
120,2013-07-09 12:00:00,2013-07-09 13:00:00,2013-07-09 12:00:00,15.98843,76.87148
121,2013-01-25 22:00:00,2013-01-25 23:00:00,2013-01-25 22:00:00,15.47272,75.87769
122,2013-09-05 17:00:00,2013-09-05 18:00:00,2013-09-05 17:00:00,15.53957,76.01585
123,2013-03-15 08:00:00,2013-03-15 09:00:00,2013-03-15 08:00:00,15.48411,76.17211
124,2013-05-27 18:00:00,2013-05-27 19:00:00,2013-05-27 18:00:00,15.68399,76.13516
125,2013-02-19 22:00:00,2013-02-19 23:00:00,2013-02-19 22:00:00,15.33755,75.95345
126,2013-03-12 18:00:00,2013-03-12 19:00:00,2013-03-12 18:00:00,15.6665,76.23799
127,2013-06-16 19:00:00,2013-06-16 20:00:00,2013-06-16 19:00:00,15.46677,76.08665
128,2013-09-27 10:00:00,2013-09-27 11:00:00,2013-09-27 10:00:00,15.71086,75.88472
129,2013-06-19 18:00:00,2013-06-19 19:00:00,2013-06-19 18:00:00,15.45417,76.05739
130,2013-06-02 19:00:00,2013-06-02 20:00:00,2013-06-02 19:00:00,15.85451,76.1667
131,2013-11-11 22:00:00,2013-11-11 23:00:00,2013-11-11 22:00:00,15.83696,76.51187
132,2013-10-11 01:00:00,2013-10-11 02:00:00,2013-10-11 01:00:00,16.01225,75.9381
133,2013-04-08 00:00:00,2013-04-08 01:00:00,2013-04-08 00:00:00,15.5919,75.99824
134,2013-03-13 04:00:00,2013-03-13 05:00:00,2013-03-13 04:00:00,15.6774,76.19105
135,2013-11-10 16:00:00,2013-11-10 17:00:00,2013-11-10 16:00:00,15.62277,76.2062
136,2013-07-16 11:00:00,2013-07-16 12:00:00,2013-07-16 11:00:00,15.40905,76.15362
137,2013-02-22 18:00:00,2013-02-22 19:00:00,2013-02-22 18:00:00,15.5328,76.30361
138,2013-08-06 08:00:00,2013-08-06 09:00:00,2013-08-06 08:00:00,15.73571,76.10706
139,2013-10-19 19:00:00,2013-10-19 20:00:00,2013-10-19 19:00:00,15.47863,76.11393
140,2013-12-13 17:00:00,2013-12-13 18:00:00,2013-12-13 17:00:00,15.96981,76.21855
141,2013-04-28 19:00:00,2013-04-28 20:00:00,2013-04-28 19:00:00,15.53513,75.76848
142,2013-07-13 18:00:00,2013-07-13 19:00:00,2013-07-13 18:00:00,15.62034,75.51363
143,2013-03-17 11:00:00,2013-03-17 12:00:00,2013-03-17 11:00:00,15.54798,75.31456
144,2013-11-12 21:00:00,2013-11-12 22:00:00,2013-11-12 21:00:00,15.20582,75.64185
145,2013-10-10 13:00:00,2013-10-10 14:00:00,2013-10-10 13:00:00,15.43664,75.67414
146,2013-10-15 12:00:00,2013-10-15 13:00:00,2013-10-15 12:00:00,15.71278,75.90566
147,2013-07-16 14:00:00,2013-07-16 15:00:00,2013-07-16 14:00:00,15.4817,75.68575
148,2013-05-15 11:00:00,2013-05-15 12:00:00,2013-05-15 11:00:00,15.48475,75.44262
149,2013-09-20 10:00:00,2013-09-20 11:00:00,2013-09-20 10:00:00,16.00851,75.81169
150,2013-05-20 18:00:00,2013-05-20 19:00:00,2013-05-20 18:00:00,15.44621,75.60252
151,2013-01-01 12:00:00,2013-01-01 13:00:00,2013-01-01 12:00:00,15.34986,75.34885
152,2013-12-04 11:00:00,2013-12-04 12:00:00,2013-12-04 11:00:00,15.73766,75.8076
153,2013-12-24 07:00:00,2013-12-24 08:00:00,2013-12-24 07:00:00,15.87136,75.79379
154,2013-12-28 11:00:00,2013-12-28 12:00:00,2013-12-28 11:00:00,15.39509,75.41029
155,2013-08-28 20:00:00,2013-08-28 21:00:00,2013-08-28 20:00:00,15.64998,75.88619
156,2013-08-24 07:00:00,2013-08-24 08:00:00,2013-08-24 07:00:00,15.47219,75.5949
157,2013-10-16 19:00:00,2013-10-16 20:00:00,2013-10-16 19:00:00,15.48305,75.50735
158,2013-04-07 10:00:00,2013-04-07 11:00:00,2013-04-07 10:00:00,15.74174,75.8713
159,2013-08-17 20:00:00,2013-08-17 21:00:00,2013-08-17 20:00:00,15.58283,75.31147
160,2013-12-18 16:00:00,2013-12-18 17:00:00,2013-12-18 16:00:00,15.67643,75.46229
161,2013-04-25 19:00:00,2013-04-25 20:00:00,2013-04-25 19:00:00,15.03016,76.33905
162,2013-11-20 17:00:00,2013-11-20 18:00:00,2013-11-20 17:00:00,15.12145,76.32977
163,2013-06-10 12:00:00,2013-06-10 13:00:00,2013-06-10 12:00:00,15.09931,76.70488
164,2013-01-10 14:00:00,2013-01-10 15:00:00,2013-01-10 14:00:00,15.13061,76.38027
165,2013-05-18 09:00:00,2013-05-18 10:00:00,2013-05-18 09:00:00,15.31509,76.56992
166,2013-02-10 22:00:00,2013-02-10 23:00:00,2013-02-10 22:00:00,15.07776,76.3108
167,2013-12-21 11:00:00,2013-12-21 12:00:00,2013-12-21 11:00:00,14.77346,76.72235
168,2013-03-08 08:00:00,2013-03-08 09:00:00,2013-03-08 08:00:00,14.95598,76.36083
169,2013-02-10 18:00:00,2013-02-10 19:00:00,2013-02-10 18:00:00,14.79556,76.20834
170,2013-08-15 19:00:00,2013-08-15 20:00:00,2013-08-15 19:00:00,14.78649,76.53567
171,2013-10-19 01:00:00,2013-10-19 02:00:00,2013-10-19 01:00:00,14.86981,76.56263
172,2013-10-22 20:00:00,2013-10-22 21:00:00,2013-10-22 20:00:00,15.14361,76.60867
173,2013-01-02 21:00:00,2013-01-02 22:00:00,2013-01-02 21:00:00,15.18719,76.42545
174,2013-06-16 20:00:00,2013-06-16 21:00:00,2013-06-16 20:00:00,15.13514,76.12038
175,2013-08-22 19:00:00,2013-08-22 20:00:00,2013-08-22 19:00:00,14.93754,76.45729
176,2013-10-21 17:00:00,2013-10-21 18:00:00,2013-10-21 17:00:00,15.30002,76.47246
177,2013-05-06 18:00:00,2013-05-06 19:00:00,2013-05-06 18:00:00,15.02296,76.29804
178,2013-10-18 07:00:00,2013-10-18 08:00:00,2013-10-18 07:00:00,15.20629,76.14123
179,2013-07-05 17:00:00,2013-07-05 18:00:00,2013-07-05 17:00:00,15.03889,76.71521
180,2013-05-09 18:00:00,2013-05-09 19:00:00,2013-05-09 18:00:00,15.14955,76.30996
181,2013-06-22 19:00:00,2013-06-22 20:00:00,2013-06-22 19:00:00,15.17495,75.27527
182,2013-07-17 10:00:00,2013-07-17 11:00:00,2013-07-17 10:00:00,15.39165,75.18364
183,2013-04-26 18:00:00,2013-04-26 19:00:00,2013-04-26 18:00:00,15.18281,75.51072
184,2013-04-28 10:00:00,2013-04-28 11:00:00,2013-04-28 10:00:00,15.33183,75.26008
185,2013-09-09 15:00:00,2013-09-09 16:00:00,2013-09-09 15:00:00,15.12951,75.30466
186,2013-03-18 21:00:00,2013-03-18 22:00:00,2013-03-18 21:00:00,15.33277,75.27153
187,2013-04-18 19:00:00,2013-04-18 20:00:00,2013-04-18 19:00:00,15.20031,75.2099
188,2013-11-04 15:00:00,2013-11-04 16:00:00,2013-11-04 15:00:00,15.20566,75.18993
189,2013-05-15 13:00:00,2013-05-15 14:00:00,2013-05-15 13:00:00,15.28242,75.07927
190,2013-08-25 13:00:00,2013-08-25 14:00:00,2013-08-25 13:00:00,15.44193,75.02978
191,2013-10-05 06:00:00,2013-10-05 07:00:00,2013-10-05 06:00:00,15.66278,75.33243
192,2013-09-15 22:00:00,2013-09-15 23:00:00,2013-09-15 22:00:00,15.60048,75.43766
193,2013-03-10 14:00:00,2013-03-10 15:00:00,2013-03-10 14:00:00,15.53733,75.15808
194,2013-09-14 14:00:00,2013-09-14 15:00:00,2013-09-14 14:00:00,15.2676,75.20384
195,2013-08-20 07:00:00,2013-08-20 08:00:00,2013-08-20 07:00:00,15.10541,75.21782
196,2013-08-23 23:00:00,2013-08-23 23:00:00,2013-08-23 23:00:00,15.37986,75.00674
197,2013-08-13 23:00:00,2013-08-13 23:00:00,2013-08-13 23:00:00,15.2852,75.01941
198,2013-10-04 20:00:00,2013-10-04 21:00:00,2013-10-04 20:00:00,15.24826,75.21788
199,2013-06-18 15:00:00,2013-06-18 16:00:00,2013-06-18 15:00:00,15.40753,74.88401
200,2013-10-28 11:00:00,2013-10-28 12:00:00,2013-10-28 11:00:00,15.28606,75.12487
201,2013-04-17 13:00:00,2013-04-17 14:00:00,2013-04-17 13:00:00,14.64298,74.48893
202,2013-06-11 14:00:00,2013-06-11 15:00:00,2013-06-11 14:00:00,14.24138,74.49415
203,2013-09-05 17:00:00,2013-09-05 18:00:00,2013-09-05 17:00:00,14.89331,74.65662
204,2013-02-19 20:00:00,2013-02-19 21:00:00,2013-02-19 20:00:00,14.46864,74.87287
205,2013-04-24 21:00:00,2013-04-24 22:00:00,2013-04-24 21:00:00,14.63317,74.48425
206,2013-02-08 17:00:00,2013-02-08 18:00:00,2013-02-08 17:00:00,14.50199,74.77882
207,2013-12-17 17:00:00,2013-12-17 18:00:00,2013-12-17 17:00:00,14.75925,74.72391
208,2013-08-20 17:00:00,2013-08-20 18:00:00,2013-08-20 17:00:00,14.78731,74.70069
209,2013-10-24 16:00:00,2013-10-24 17:00:00,2013-10-24 16:00:00,15.0041,74.65031
210,2013-11-13 00:00:00,2013-11-13 01:00:00,2013-11-13 00:00:00,14.77628,74.81777
211,2013-06-21 18:00:00,2013-06-21 19:00:00,2013-06-21 18:00:00,14.58614,75.16538
212,2013-10-05 14:00:00,2013-10-05 15:00:00,2013-10-05 14:00:00,14.63383,74.72396
213,2013-10-06 18:00:00,2013-10-06 19:00:00,2013-10-06 18:00:00,14.67373,74.8484
214,2013-03-01 07:00:00,2013-03-01 08:00:00,2013-03-01 07:00:00,14.77499,74.44274
215,2013-04-08 08:00:00,2013-04-08 09:00:00,2013-04-08 08:00:00,15.02434,74.71696
216,2013-01-20 14:00:00,2013-01-20 15:00:00,2013-01-20 14:00:00,14.74338,74.50635
217,2013-11-02 16:00:00,2013-11-02 17:00:00,2013-11-02 16:00:00,14.82132,74.82226
218,2013-04-15 21:00:00,2013-04-15 22:00:00,2013-04-15 21:00:00,14.87727,74.73824
219,2013-03-11 13:00:00,2013-03-11 14:00:00,2013-03-11 13:00:00,14.54253,74.56829
220,2013-08-28 00:00:00,2013-08-28 01:00:00,2013-08-28 00:00:00,14.46737,74.66471
221,2013-10-20 10:00:00,2013-10-20 11:00:00,2013-10-20 10:00:00,14.72429,75.49044
222,2013-05-26 18:00:00,2013-05-26 19:00:00,2013-05-26 18:00:00,14.89862,75.47933
223,2013-09-11 17:00:00,2013-09-11 18:00:00,2013-09-11 17:00:00,14.49009,75.49201
224,2013-07-06 17:00:00,2013-07-06 18:00:00,2013-07-06 17:00:00,14.51109,75.24327
225,2013-08-17 16:00:00,2013-08-17 17:00:00,2013-08-17 16:00:00,14.8582,75.54361
226,2013-06-15 21:00:00,2013-06-15 22:00:00,2013-06-15 21:00:00,14.83277,75.37556
227,2013-05-04 08:00:00,2013-05-04 09:00:00,2013-05-04 08:00:00,14.99794,75.44482
228,2013-11-02 15:00:00,2013-11-02 16:00:00,2013-11-02 15:00:00,14.81735,75.45629
229,2013-02-27 17:00:00,2013-02-27 18:00:00,2013-02-27 17:00:00,14.85555,75.18891
230,2013-01-03 15:00:00,2013-01-03 16:00:00,2013-01-03 15:00:00,14.62839,75.44641
231,2013-03-16 10:00:00,2013-03-16 11:00:00,2013-03-16 10:00:00,14.66667,75.52082
232,2013-02-20 22:00:00,2013-02-20 23:00:00,2013-02-20 22:00:00,15.00311,75.60872
233,2013-11-10 20:00:00,2013-11-10 21:00:00,2013-11-10 20:00:00,15.10317,75.23926
234,2013-11-11 17:00:00,2013-11-11 18:00:00,2013-11-11 17:00:00,14.73665,75.2648
235,2013-03-03 18:00:00,2013-03-03 19:00:00,2013-03-03 18:00:00,14.96406,75.64342
236,2013-10-12 22:00:00,2013-10-12 23:00:00,2013-10-12 22:00:00,14.81898,75.43271
237,2013-01-11 11:00:00,2013-01-11 12:00:00,2013-01-11 11:00:00,14.75251,75.41829
238,2013-03-19 15:00:00,2013-03-19 16:00:00,2013-03-19 15:00:00,15.23761,75.5788
239,2013-12-05 21:00:00,2013-12-05 22:00:00,2013-12-05 21:00:00,14.69243,75.29406
240,2013-02-02 19:00:00,2013-02-02 20:00:00,2013-02-02 19:00:00,14.85537,75.56367
241,2013-02-21 15:00:00,2013-02-21 16:00:00,2013-02-21 15:00:00,13.8061,76.72222
242,2013-03-21 17:00:00,2013-03-21 18:00:00,2013-03-21 17:00:00,14.21813,76.57576
243,2013-01-02 18:00:00,2013-01-02 19:00:00,2013-01-02 18:00:00,14.24282,76.46306
244,2013-06-11 22:00:00,2013-06-11 23:00:00,2013-06-11 22:00:00,14.23997,76.42405
245,2013-11-15 05:00:00,2013-11-15 06:00:00,2013-11-15 05:00:00,14.29911,76.48383
246,2013-08-22 18:00:00,2013-08-22 19:00:00,2013-08-22 18:00:00,14.44322,76.42683
247,2013-03-27 15:00:00,2013-03-27 16:00:00,2013-03-27 15:00:00,14.05895,76.41147
248,2013-02-04 09:00:00,2013-02-04 10:00:00,2013-02-04 09:00:00,14.26692,76.83763
249,2013-10-10 18:00:00,2013-10-10 19:00:00,2013-10-10 18:00:00,14.05611,76.71722
250,2013-10-12 23:00:00,2013-10-12 23:00:00,2013-10-12 23:00:00,14.61337,76.21388
251,2013-12-02 01:00:00,2013-12-02 02:00:00,2013-12-02 01:00:00,14.39584,76.52605
252,2013-10-16 04:00:00,2013-10-16 05:00:00,2013-10-16 04:00:00,14.46852,76.62863
253,2013-11-20 08:00:00,2013-11-20 09:00:00,2013-11-20 08:00:00,14.48149,76.45379
254,2013-10-01 22:00:00,2013-10-01 23:00:00,2013-10-01 22:00:00,14.26536,76.59508
255,2013-11-10 00:00:00,2013-11-10 01:00:00,2013-11-10 00:00:00,14.40057,76.72218
256,2013-12-20 19:00:00,2013-12-20 20:00:00,2013-12-20 19:00:00,14.03264,76.49632
257,2013-09-23 18:00:00,2013-09-23 19:00:00,2013-09-23 18:00:00,14.32009,76.48493
258,2013-09-27 15:00:00,2013-09-27 16:00:00,2013-09-27 15:00:00,14.48772,76.7467
259,2013-05-04 07:00:00,2013-05-04 08:00:00,2013-05-04 07:00:00,14.24604,76.39418
260,2013-09-21 20:00:00,2013-09-21 21:00:00,2013-09-21 20:00:00,14.19911,76.7518
261,2013-12-16 18:00:00,2013-12-16 19:00:00,2013-12-16 18:00:00,14.50754,75.91445
262,2013-08-11 13:00:00,2013-08-11 14:00:00,2013-08-11 13:00:00,14.28387,75.85026
263,2013-08-24 19:00:00,2013-08-24 20:00:00,2013-08-24 19:00:00,14.72495,75.95249
264,2013-02-01 19:00:00,2013-02-01 20:00:00,2013-02-01 19:00:00,14.13766,76.15702
265,2013-11-27 11:00:00,2013-11-27 12:00:00,2013-11-27 11:00:00,14.38267,75.90357
266,2013-06-17 20:00:00,2013-06-17 21:00:00,2013-06-17 20:00:00,14.43333,75.93598
267,2013-02-17 16:00:00,2013-02-17 17:00:00,2013-02-17 16:00:00,14.51435,76.17705
268,2013-06-25 16:00:00,2013-06-25 17:00:00,2013-06-25 16:00:00,14.29127,75.97974
269,2013-10-17 20:00:00,2013-10-17 21:00:00,2013-10-17 20:00:00,14.44904,75.82004
270,2013-08-25 04:00:00,2013-08-25 05:00:00,2013-08-25 04:00:00,14.34048,76.0102
271,2013-03-22 21:00:00,2013-03-22 22:00:00,2013-03-22 21:00:00,14.39498,76.02198
272,2013-12-04 00:00:00,2013-12-04 01:00:00,2013-12-04 00:00:00,14.75655,75.80091
